trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-134.46128759270692,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,16,-30.728573949988533,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.55261311993785,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.85588472691899,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,8.02237835569923,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,16,7.347125542428566,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-175.12150886659305,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.06715853341906,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.26582086961882,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.25491969516072,"{0: 9, 1: 2, 2: 9, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-175.90232047695895,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.21734866821491,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,11,-11.665769902916077,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-161.42177968060122,"{0: 9, 1: 1, 2: 6, 3: 3, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-140.01016448549632,"{0: 17, 1: 0, 2: 4, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-110.79218621800749,"{0: 16, 1: 5, 2: 2, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-48.968529639101476,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-180.66955141864125,"{0: 18, 1: 2, 2: 5, 3: 3, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-108.93350397408946,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-72.81669979076109,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-72.3947446353277,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-123.21650974123268,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",35,0,-206.7840385532702,"{0: 17, 1: 5, 2: 10, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-201.83752296679305,"{0: 13, 1: 5, 2: 9, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-195.73772843088977,"{0: 17, 1: 1, 2: 9, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,7,-23.143579755822536,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 0}",1
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-232.78370096583623,"{0: 14, 1: 8, 2: 3, 3: 1, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-220.20711010653568,"{0: 9, 1: 1, 2: 6, 3: 0, 4: 4}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-94.28982058620838,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-61.418434300594356,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
